,app_stamp,ID_tracking,x_tracking,y_tracking,z_tracking,xd,yd,type_tracking,status,tick,range_tracking,speed_tracking,sinAzim_tracking,sinElv_tracking,c_range,c_angle,id_new
63,8162215,1.0,12.03125,17.6875,0.1953125,0.0859375,0.0546875,0.0,2.0,50.0,21.1640625,0.0,-0.004331,6.1e-05,21.391555175173682,34.2240078747585,1008.0
64,8258104,1.0,12.0390625,17.671875,0.1953125,0.0703125,0.046875,0.0,2.0,51.0,21.1640625,0.0,-0.004331,6.1e-05,21.38303514224609,34.264864027697705,1008.0
65,8365683,1.0,12.046875,17.65625,0.203125,0.0625,0.0390625,0.0,2.0,52.0,21.1640625,0.0,-0.004331,6.1e-05,21.374525990723747,34.305752730929854,1008.0
66,8458321,1.0,12.0546875,17.6484375,0.203125,0.046875,0.03125,0.0,2.0,53.0,21.1640625,0.0,-0.004331,6.1e-05,21.372478492539475,34.33485745211131,1008.0
67,8565643,1.0,12.046875,17.6484375,0.2109375,0.046875,0.03125,0.0,2.0,54.0,21.1640625,0.0,-0.004331,6.1e-05,21.3680729935348,34.31755934096208,1008.0
68,8662602,1.0,12.0390625,17.6484375,0.21875,0.046875,0.03125,0.0,2.0,55.0,21.1640625,0.0,-0.004331,6.1e-05,21.36366944301265,34.30025409714667,1008.0
69,8764831,1.0,12.046875,17.6328125,0.21875,0.0390625,0.0234375,0.0,2.0,56.0,21.1640625,0.0,-0.004331,6.1e-05,21.355169723647276,34.341193964487246,1008.0
70,8860360,1.0,12.078125,17.609375,0.21875,0.015625,0.0078125,0.0,2.0,57.0,21.1640625,0.0,-0.004331,6.1e-05,21.353481950404483,34.44590467433363,1008.0
71,8958948,1.0,12.0859375,17.6015625,0.2265625,0.0078125,0.0,0.0,2.0,58.0,21.1640625,0.0,-0.004331,6.1e-05,21.35146102015767,34.475051415768846,1008.0
72,9065057,1.0,12.0859375,17.5859375,0.2265625,0.0,0.0,0.0,2.0,59.0,21.1640625,0.0,-0.004331,6.1e-05,21.33858202898713,34.49879956997248,1008.0
73,9161416,1.0,12.109375,17.5703125,0.234375,0.0,0.0,0.0,2.0,60.0,21.1640625,0.0,-0.004331,6.1e-05,21.3389982013749,34.5744248809636,1008.0
74,9260205,1.0,12.125,17.5546875,0.234375,-0.015625,-0.0078125,0.0,2.0,61.0,21.1640625,0.0,-0.004331,6.1e-05,21.335010621573552,34.63278755301341,1008.0
75,9357114,1.0,12.15625,17.53125,0.2421875,-0.03125,-0.015625,0.0,2.0,62.0,21.1640625,0.0,-0.004331,6.1e-05,21.333521524235046,34.737618433232925,1008.0
76,9458732,1.0,12.171875,17.5078125,0.2421875,-0.0390625,-0.0234375,0.0,2.0,63.0,21.1640625,0.0,-0.004392,6.1e-05,21.32318080284415,34.808005691139535,1008.0
77,9560592,1.0,12.171875,17.5,0.2421875,-0.0390625,-0.0234375,0.0,2.0,64.0,21.1640625,0.0,-0.004392,6.1e-05,21.316766664192414,34.819992313659746,1008.0
78,9664221,1.0,12.1875,17.484375,0.25,-0.046875,-0.03125,0.0,2.0,65.0,21.078125,0.0,-0.004392,6.1e-05,21.312872293302586,34.87846114461619,1008.0
79,9760390,1.0,12.2109375,17.4609375,0.25,-0.0625,-0.0390625,0.0,2.0,66.0,21.1640625,0.0,-0.004392,6.1e-05,21.307072370642864,34.96620431334834,1008.0
80,9860988,1.0,12.21875,17.453125,0.25,-0.0625,-0.0390625,0.0,2.0,67.0,21.1640625,0.0,-0.004392,6.1e-05,21.30515017145209,34.995462627028026,1008.0
81,9959957,1.0,12.2265625,17.4453125,0.2578125,-0.0625,-0.0390625,0.0,2.0,68.0,21.1640625,0.0,-0.004392,6.1e-05,21.30323352895195,35.02472621305493,1008.0
82,10060997,1.0,12.234375,17.4375,0.2578125,-0.0703125,-0.046875,0.0,2.0,69.0,21.1640625,0.0,-0.004392,6.1e-05,21.301322444642373,35.05399505758271,1008.0
83,10159946,1.0,12.25,17.421875,0.2578125,-0.0703125,-0.046875,0.0,2.0,70.0,21.1640625,0.0,-0.004392,6.1e-05,21.297516956575596,35.11254846667568,1008.0
84,10258745,1.0,12.265625,17.40625,0.265625,-0.078125,-0.0546875,0.0,2.0,71.0,21.1640625,0.0,-0.004392,6.1e-05,21.293733719174874,35.17112274321762,1008.0
85,10358153,1.0,12.2734375,17.3984375,0.265625,-0.078125,-0.0546875,0.0,2.0,72.0,21.1640625,0.0,-0.004392,6.1e-05,21.291850448183514,35.200417671997144,1008.0
86,10457122,1.0,12.2734375,17.390625,0.265625,-0.078125,-0.046875,0.0,2.0,73.0,21.1640625,0.0,-0.004392,6.1e-05,21.285467012894767,35.212539895613205,1008.0
87,10559348,1.0,12.2890625,17.375,0.265625,-0.078125,-0.0546875,0.0,2.0,74.0,21.1640625,0.0,-0.004392,6.1e-05,21.281721784876954,35.27116497139054,1008.0
88,10656287,1.0,12.296875,17.3671875,0.2734375,-0.078125,-0.0546875,0.0,2.0,75.0,21.1640625,0.0,-0.004392,6.1e-05,21.27985752832432,35.300485232385014,1008.0
89,10758315,1.0,12.296875,17.359375,0.2734375,-0.078125,-0.046875,0.0,2.0,76.0,21.1640625,0.0,-0.0044529999999999995,6.1e-05,21.27348197066597,35.312644295950186,1008.0
90,10856494,1.0,12.3046875,17.359375,0.2734375,-0.0703125,-0.046875,0.0,2.0,77.0,21.1640625,0.0,-0.0044529999999999995,6.1e-05,21.277998845363285,35.32981062344686,1008.0
91,10955443,1.0,12.3046875,17.3515625,0.2734375,-0.0703125,-0.046875,0.0,2.0,78.0,21.1640625,0.0,-0.0044529999999999995,6.1e-05,21.271625599940933,35.341979536640764,1008.0
92,11061280,1.0,12.3125,17.34375,0.28125,-0.0703125,-0.046875,0.0,2.0,79.0,21.1640625,0.0,-0.0044529999999999995,6.1e-05,21.269774806341978,35.37131989024713,1008.0
93,11159438,1.0,12.3203125,17.3359375,0.28125,-0.0703125,-0.046875,0.0,2.0,80.0,21.1640625,0.0,-0.0044529999999999995,6.1e-05,21.267929591325117,35.40066534271414,1008.0
95,11360474,1.0,12.3203125,17.328125,0.28125,-0.0625,-0.0390625,0.0,2.0,82.0,21.1640625,0.0,-0.0044529999999999995,6.1e-05,21.261561939643126,35.412861247071,1008.0
96,11459222,1.0,12.3203125,17.3203125,0.2890625,-0.0625,-0.0390625,0.0,2.0,83.0,21.1640625,0.0,-0.0044529999999999995,6.1e-05,21.2551952518746,35.42506445819624,1008.0
100,11863438,1.0,12.3125,17.3203125,0.2890625,-0.0390625,-0.0234375,0.0,2.0,87.0,21.1640625,0.0,-0.0044529999999999995,6.1e-05,21.250667785922783,35.40789997578493,1008.0
102,12057502,1.0,12.3125,17.3125,0.296875,-0.03125,-0.015625,0.0,2.0,89.0,21.1640625,0.0,-0.0044529999999999995,6.1e-05,21.24430070630709,35.420107957987966,1008.0
104,12264019,1.0,12.3125,17.3046875,0.296875,-0.03125,-0.015625,0.0,2.0,91.0,21.1640625,0.0,-0.0044529999999999995,6.1e-05,21.237934591731285,35.432323259481386,1008.0
106,12459697,1.0,12.3046875,17.3046875,0.296875,-0.0234375,-0.015625,0.0,2.0,93.0,21.1640625,0.0,-0.0044529999999999995,6.1e-05,21.233406319884534,35.41514637160347,1008.0
110,12856260,1.0,12.3046875,17.296875,0.3046875,-0.015625,-0.0078125,0.0,2.0,97.0,21.1640625,0.0,-0.0044529999999999995,6.1e-05,21.22703981336732,35.42736645443286,1008.0
