,Unnamed: 0,app_stamp,ID_tracking,x_tracking,y_tracking,z_tracking,xd,yd,type_tracking,status,tick,range_tracking,speed_tracking,sinAzim_tracking,sinElv_tracking,new_id,sub_ID_count
2305,3053,2658925,9.0,-4.890625,37.328125,0.390625,0.0234375,0.0,0.0,2.0,10.0,38.7421875,0.0,0.000976,6.1e-05,9.0_129,12
2306,3055,2853221,9.0,-4.8984375,37.328125,0.390625,0.0234375,0.0,0.0,3.0,10.0,0.0,0.0,0.000976,6.1e-05,9.0_129,12
2307,3061,3860156,9.0,4.046875,43.671875,0.0,0.0,3.140625,1.0,1.0,0.0,43.8671875,3.140625,-0.00061,0.0,9.0_130,34
2308,3062,3960155,9.0,4.578125,43.4375,0.0,0.0078125,1.7109375,1.0,1.0,1.0,43.703125,1.6640625,-0.000732,0.0,9.0_130,34
2309,3063,4056598,9.0,4.4375,43.609375,0.0,0.0078125,1.734375,1.0,1.0,2.0,43.625,1.7265625,-0.0006709999999999999,0.0,9.0_130,34
2310,3064,4159415,9.0,3.7109375,43.7734375,0.0,0.0625,1.3828125,1.0,1.0,3.0,43.78125,1.34375,-0.000549,0.0,9.0_130,34
2311,3065,4262912,9.0,3.7734375,43.921875,0.0,0.046875,1.40625,1.0,1.0,4.0,44.3515625,1.40625,-0.000549,0.0,9.0_130,34
2312,3066,4356590,9.0,3.8671875,44.0703125,0.0078125,0.03125,1.46875,1.0,2.0,5.0,44.3515625,1.4765625,-0.00061,0.0,9.0_130,34
2313,3067,4463926,9.0,4.5625,45.1328125,0.359375,-0.109375,0.3125,0.0,2.0,6.0,48.2578125,0.0,-0.0006709999999999999,6.1e-05,9.0_130,34
2314,3068,4562382,9.0,4.4375,45.9453125,0.6796875,0.0,-0.7109375,1.0,2.0,7.0,50.1640625,-1.0078125,-0.0006709999999999999,6.1e-05,9.0_130,34
2315,3069,4659751,9.0,4.4921875,45.84375,0.71875,-0.0390625,0.984375,1.0,2.0,8.0,44.84375,1.4765625,-0.0006709999999999999,0.000122,9.0_130,34
2316,3070,4761800,9.0,4.53125,45.7421875,0.609375,-0.0703125,1.2578125,1.0,2.0,9.0,45.0078125,1.34375,-0.0006709999999999999,6.1e-05,9.0_130,34
2317,3071,4859119,9.0,4.5390625,45.84375,0.6171875,-0.0546875,0.265625,0.0,2.0,10.0,44.78125,0.0,-0.0006709999999999999,6.1e-05,9.0_130,34
2318,3072,4958897,9.0,4.59375,45.8046875,0.578125,-0.1015625,1.3515625,1.0,2.0,11.0,45.25,1.6640625,-0.0006709999999999999,6.1e-05,9.0_130,34
2319,3073,5056625,9.0,4.6015625,45.9375,0.578125,-0.1015625,1.3515625,1.0,3.0,11.0,0.0,0.0,-0.0006709999999999999,6.1e-05,9.0_130,34
2320,3074,5157192,9.0,4.640625,45.953125,0.5234375,-0.125,1.28125,1.0,4.0,12.0,45.4921875,1.28125,-0.0006709999999999999,6.1e-05,9.0_130,34
2321,3075,5258999,9.0,4.65625,46.0859375,0.5234375,-0.125,1.28125,1.0,3.0,12.0,0.0,0.0,-0.0006709999999999999,6.1e-05,9.0_130,34
2322,3076,5356766,9.0,4.6640625,46.2109375,0.5234375,-0.125,1.28125,1.0,3.0,12.0,0.0,0.0,-0.0006709999999999999,6.1e-05,9.0_130,34
2323,3077,5457423,9.0,4.6796875,46.2578125,0.515625,-0.1171875,0.0546875,0.0,4.0,13.0,44.78125,0.0,-0.0006709999999999999,6.1e-05,9.0_130,34
2324,3078,5556432,9.0,4.6953125,46.25,0.515625,-0.1171875,0.0,0.0,4.0,14.0,44.78125,0.0,-0.0006709999999999999,6.1e-05,9.0_130,34
2325,3079,5657870,9.0,4.7109375,46.234375,0.5,-0.1171875,0.0,0.0,2.0,15.0,44.78125,0.0,-0.0006709999999999999,6.1e-05,9.0_130,34
2326,3080,5755039,9.0,4.7578125,46.2578125,0.5,-0.1484375,0.9453125,1.0,2.0,16.0,46.46875,1.21875,-0.000732,6.1e-05,9.0_130,34
2327,3081,5856007,9.0,4.7734375,46.3515625,0.5,-0.1484375,0.9453125,1.0,3.0,16.0,0.0,0.0,-0.000732,6.1e-05,9.0_130,34
2328,3082,5955215,9.0,4.7890625,46.4453125,0.5,-0.1484375,0.9453125,1.0,3.0,16.0,0.0,0.0,-0.000732,6.1e-05,9.0_130,34
2329,3083,6057717,9.0,4.8046875,46.4765625,0.4921875,-0.140625,0.03125,0.0,4.0,17.0,44.78125,0.0,-0.000732,6.1e-05,9.0_130,34
2330,3084,6158976,9.0,4.8125,46.4609375,0.484375,-0.1328125,0.0,0.0,4.0,18.0,44.78125,0.0,-0.000732,6.1e-05,9.0_130,34
2331,3085,6256745,9.0,4.828125,46.453125,0.4765625,-0.140625,0.0,0.0,2.0,19.0,44.78125,0.0,-0.000732,6.1e-05,9.0_130,34
2332,3086,6355514,9.0,4.609375,46.578125,0.4921875,-0.0078125,1.1640625,1.0,2.0,20.0,47.28125,1.4765625,-0.0006709999999999999,6.1e-05,9.0_130,34
2333,3087,6457943,9.0,4.578125,46.71875,0.484375,0.0,1.546875,1.0,2.0,21.0,47.375,1.6484375,-0.0006709999999999999,6.1e-05,9.0_130,34
2334,3088,6555706,9.0,4.7890625,46.9140625,0.5078125,-0.109375,1.578125,1.0,2.0,22.0,47.6875,1.6015625,-0.000732,6.1e-05,9.0_130,34
2335,3089,6656925,9.0,4.796875,47.078125,0.5078125,-0.109375,1.578125,1.0,3.0,22.0,0.0,0.0,-0.000732,6.1e-05,9.0_130,34
2336,3090,6755504,9.0,4.8125,47.234375,0.5078125,-0.109375,1.578125,1.0,3.0,22.0,0.0,0.0,-0.000732,6.1e-05,9.0_130,34
2337,3091,7164618,9.0,5.125,47.21875,0.4921875,-0.1953125,-1.03125,1.0,3.0,25.0,0.0,0.0,-0.000732,6.1e-05,9.0_130,34
2338,3092,8363073,9.0,4.9296875,46.28125,0.421875,0.015625,-1.0859375,1.0,4.0,32.0,46.1796875,-1.1328125,-0.000732,6.1e-05,9.0_130,34
2339,3093,8455701,9.0,4.7734375,46.1875,0.40625,0.09375,-0.8828125,0.0,4.0,33.0,45.9765625,-0.875,-0.000732,6.1e-05,9.0_130,34
2340,3094,8563033,9.0,4.5546875,46.1171875,0.4140625,0.21875,-0.9296875,0.0,2.0,34.0,46.3046875,-0.953125,-0.0006709999999999999,6.1e-05,9.0_130,34
2347,3101,12956039,9.0,10.7578125,32.6953125,0.0,0.0,-55.484375,1.0,1.0,0.0,34.4296875,-55.484375,-0.002379,0.0,9.0_136,54
2348,3102,13457478,9.0,8.4296875,30.59375,0.0,0.0,0.0,0.0,1.0,0.0,31.7421875,0.0,-0.002013,0.0,9.0_136,54
2349,3103,13558277,9.0,7.0390625,30.2578125,0.0,0.0,0.0,0.0,1.0,1.0,30.6015625,0.0,-0.001708,0.0,9.0_136,54
2350,3104,13656686,9.0,6.53125,30.203125,0.0,0.0078125,0.0,0.0,1.0,2.0,30.6015625,0.0,-0.001586,0.0,9.0_136,54
2351,3105,13758905,9.0,6.2890625,30.171875,0.0,0.03125,0.0,0.0,1.0,3.0,30.6015625,0.0,-0.001525,0.0,9.0_136,54
2352,3106,13857713,9.0,6.1484375,30.1484375,0.0,0.046875,0.0078125,0.0,1.0,4.0,30.6015625,0.0,-0.001464,0.0,9.0_136,54
2353,3107,13955432,9.0,6.046875,30.140625,0.0,0.0703125,0.0078125,0.0,2.0,5.0,30.6015625,0.0,-0.001464,0.0,9.0_136,54
2354,3108,14061561,9.0,5.9765625,30.1328125,0.0,0.09375,0.015625,0.0,2.0,6.0,30.6015625,0.0,-0.001403,0.0,9.0_136,54
2355,3109,14156040,9.0,5.90625,30.125,0.0,0.125,0.0234375,0.0,2.0,7.0,30.6015625,0.0,-0.001403,0.0,9.0_136,54
2356,3110,14260349,9.0,5.84375,30.125,0.0,0.1484375,0.0234375,0.0,2.0,8.0,30.6015625,0.0,-0.001403,0.0,9.0_136,54
2357,3111,14357077,9.0,5.796875,30.125,0.0,0.171875,0.03125,0.0,2.0,9.0,30.6015625,0.0,-0.001403,0.0,9.0_136,54
2358,3112,14457496,9.0,5.75,30.125,0.0,0.1953125,0.03125,0.0,2.0,10.0,30.6015625,0.0,-0.001403,0.0,9.0_136,54
2359,3113,14558126,9.0,5.703125,30.125,0.0,0.2109375,0.0390625,0.0,2.0,11.0,30.6015625,0.0,-0.001342,0.0,9.0_136,54
2360,3114,14661985,9.0,5.65625,30.1328125,0.0,0.234375,0.0390625,0.0,2.0,12.0,30.6015625,0.0,-0.001342,0.0,9.0_136,54
2361,3115,14758944,9.0,5.6171875,30.1328125,0.0,0.25,0.046875,0.0,2.0,13.0,30.6015625,0.0,-0.001342,0.0,9.0_136,54
2362,3116,14859553,9.0,5.59375,30.140625,0.0,0.25,0.046875,0.0,3.0,13.0,0.0,0.0,-0.001342,0.0,9.0_136,54
2363,3117,14955462,9.0,5.5703125,30.140625,0.0,0.2421875,0.0390625,0.0,4.0,14.0,30.6015625,0.0,-0.001342,0.0,9.0_136,54
2364,3118,15059765,9.0,5.5390625,30.140625,0.0,0.25,0.0390625,0.0,4.0,15.0,30.6015625,0.0,-0.001342,0.0,9.0_136,54
2365,3119,15157914,9.0,5.515625,30.1484375,0.0,0.25,0.0390625,0.0,3.0,15.0,0.0,0.0,-0.001342,0.0,9.0_136,54
2366,3120,15259133,9.0,5.4921875,30.1484375,0.0,0.25,0.0390625,0.0,3.0,15.0,0.0,0.0,-0.001281,0.0,9.0_136,54
2367,3121,15359962,9.0,5.46875,30.15625,0.0,0.25,0.0390625,0.0,3.0,14.0,0.0,0.0,-0.001281,0.0,9.0_136,54
2368,3122,15857476,9.0,6.2578125,34.171875,0.0,0.0,0.0,0.0,1.0,0.0,34.75,0.0,-0.001342,0.0,9.0_136,54
2369,3123,15958704,9.0,5.1953125,37.703125,0.0,0.0,0.0,0.0,1.0,1.0,38.8203125,0.0,-0.000976,0.0,9.0_136,54
2370,3124,16060773,9.0,5.203125,37.7734375,0.0546875,0.0078125,-0.9140625,0.0,1.0,2.0,39.1484375,-0.953125,-0.000976,0.0,9.0_136,54
