,Unnamed: 0,app_stamp,Obj_DistLat,Obj_DistLong,Obj_VrelLong,Obj_VrelLat,Obj_ID,Obj_DynProp,Obj_RCS,ideal_DisLat,ideal_DisLong,sub_ID,sub_ID_count
1011,5772,58381303.0,-17.599999999999994,158.60000000000005,-1.25,-1.0,6.0,1.0,5.5,-18.850279999999973,156.9871500000001,6_125,9
1015,5776,58671346.0,-12.199999999999989,100.20000000000003,-1.5,0.0,6.0,2.0,6.0,-8.525149999999972,11.724750000000027,6_127,15
1016,5777,58746355.0,-12.399999999999974,98.60000000000002,-1.5,-0.25,6.0,2.0,13.5,-12.199999999999989,99.07486500000003,6_127,15
1017,5778,58816374.0,-13.199999999999989,97.60000000000002,-1.5,-1.5,6.0,3.0,15.5,-12.575047499999974,97.54971500000002,6_127,15
1018,5779,58891753.0,-13.799999999999983,97.39999999999998,-1.5,-3.0,6.0,3.0,14.5,-14.330684999999988,96.46931500000002,6_127,15
1019,5780,58961422.0,-14.799999999999983,97.39999999999998,-1.75,-4.75,6.0,3.0,17.0,-15.890069999999984,96.35496499999998,6_127,15
1020,5782,59106467.0,-14.999999999999973,97.20000000000003,-2.0,-4.0,6.0,3.0,14.5,-21.689637499999982,94.86171249999998,6_127,15
1021,5785,59326525.0,-15.399999999999974,97.0,-2.0,-3.0,6.0,3.0,12.5,-23.802319999999973,92.79884000000003,6_127,15
1022,5786,59396554.0,-15.999999999999973,97.20000000000003,-2.0,-3.75,6.0,3.0,10.5,-17.500869999999974,95.59942,6_127,15
1023,5787,59471563.0,-16.599999999999994,97.80000000000008,-2.25,-4.0,6.0,3.0,9.5,-18.812837499999972,95.69982000000003,6_127,15
1024,5788,59546622.0,-16.799999999999983,97.80000000000008,-2.25,-4.0,6.0,3.0,10.0,-19.602359999999994,96.11117250000008,6_127,15
1025,5789,59616656.0,-17.599999999999994,99.20000000000003,-2.5,-4.5,6.0,3.0,8.5,-19.601359999999982,96.22423500000008,6_127,15
1026,5790,59691655.0,-17.799999999999983,99.0,-2.5,-4.5,6.0,3.0,8.5,-20.974954999999994,97.32502500000002,6_127,15
1027,5791,59761694.0,-18.19999999999999,98.80000000000008,-2.5,-4.5,6.0,3.0,8.5,-20.951754999999984,97.249025,6_127,15
1028,5792,59836713.0,-18.599999999999994,98.60000000000002,-2.5,-4.5,6.0,3.0,8.5,-21.57585499999999,96.92452500000009,6_127,15
1029,5793,59906752.0,-18.799999999999983,98.60000000000002,-2.5,-4.5,6.0,3.0,8.5,-21.751754999999996,96.84902500000003,6_127,15
1032,5798,262615.0,-13.999999999999973,211.80000000000007,0.0,0.0,7.0,1.0,1.5,17.33756750000001,148.4000000000001,7_130,22
1033,5799,337631.0,-13.799999999999983,211.80000000000007,0.0,0.0,7.0,1.0,1.0,-13.999999999999973,211.80000000000007,7_130,22
1034,5800,407667.0,-13.399999999999974,211.80000000000007,0.0,0.0,7.0,1.0,1.0,-13.799999999999983,211.80000000000007,7_130,22
1035,5801,482693.0,-12.599999999999996,212.0,0.0,0.0,7.0,1.0,1.5,-13.399999999999974,211.80000000000007,7_130,22
1036,5803,627788.0,-12.199999999999989,212.20000000000005,0.0,0.25,7.0,1.0,2.5,-12.599999999999996,212.0,7_130,22
1037,5804,702816.0,-11.599999999999996,212.20000000000005,0.0,0.5,7.0,1.0,3.0,-12.012429999999988,212.20000000000005,7_130,22
1038,5805,772834.0,-11.599999999999996,212.40000000000006,0.0,0.5,7.0,1.0,3.0,-11.249909999999996,212.20000000000005,7_130,22
1039,5807,917881.0,-11.799999999999983,212.40000000000006,0.0,0.0,7.0,1.0,3.5,-10.874764999999996,212.40000000000006,7_130,22
1040,5809,1062933.0,-12.599999999999996,212.20000000000005,0.0,-0.75,7.0,1.0,4.5,-11.799999999999983,212.40000000000006,7_130,22
1041,5810,1132962.0,-12.999999999999973,212.20000000000005,0.0,-1.0,7.0,1.0,4.5,-13.125217499999996,212.20000000000005,7_130,22
1042,5811,1207990.0,-13.199999999999989,212.20000000000005,0.0,-1.25,7.0,1.0,4.0,-13.750279999999973,212.20000000000005,7_130,22
1043,5812,1278019.0,-13.399999999999974,212.0,0.0,-1.25,7.0,1.0,4.0,-14.075362499999988,212.20000000000005,7_130,22
1044,5813,1353037.0,-13.599999999999996,212.0,0.0,-1.5,7.0,1.0,4.0,-14.337724999999974,212.0,7_130,22
1045,5814,1428055.0,-13.999999999999973,212.0,0.0,-2.0,7.0,1.0,4.0,-14.725269999999997,212.0,7_130,22
1046,5815,1498084.0,-13.799999999999983,212.0,0.0,-1.5,7.0,1.0,4.5,-15.400579999999973,212.0,7_130,22
1047,5819,1788173.0,-13.399999999999974,212.20000000000005,0.0,-0.75,7.0,1.0,4.5,-18.151334999999982,212.0,7_130,22
1048,5823,2078225.0,-13.599999999999996,212.20000000000005,0.0,-0.75,7.0,1.0,4.5,-15.575389999999974,212.20000000000005,7_130,22
1049,5827,2368307.0,-13.799999999999983,212.20000000000005,0.0,-0.75,7.0,1.0,4.5,-15.775614999999997,212.20000000000005,7_130,22
1050,5828,2443335.0,-14.199999999999989,212.20000000000005,0.0,-1.0,7.0,1.0,3.5,-14.362709999999982,212.20000000000005,7_130,22
1051,5831,2658449.0,-14.399999999999974,212.20000000000005,0.0,-1.0,7.0,1.0,3.5,-16.35113999999999,212.20000000000005,7_130,22
1052,5833,2803497.0,-14.399999999999974,212.40000000000006,0.0,-1.0,7.0,1.0,3.5,-15.850479999999974,212.20000000000005,7_130,22
1053,5834,2878525.0,-14.599999999999996,212.40000000000006,0.0,-1.0,7.0,1.0,3.5,-15.150279999999974,212.40000000000006,7_130,22
1057,5850,4038822.0,8.400000000000006,212.80000000000007,6.25,0.0,7.0,0.0,2.0,-11.599999999999996,146.8000000000001,7_133,5
1058,5851,4108904.0,8.400000000000006,213.40000000000006,6.25,0.0,7.0,0.0,2.0,8.400000000000006,217.18012500000006,7_133,5
1059,5852,4183923.0,8.400000000000006,213.80000000000007,6.25,0.0,7.0,0.0,2.0,8.400000000000006,218.08868750000005,7_133,5
1060,5853,4253941.0,8.400000000000006,214.20000000000005,6.25,0.0,7.0,0.0,2.0,8.400000000000006,218.17612500000007,7_133,5
