,app_stamp,ID_tracking,x_tracking,y_tracking,z_tracking,xd,yd,type_tracking,status,tick,range_tracking,speed_tracking,sinAzim_tracking,sinElv_tracking
11524,36559532,39.0,3.7578125,51.5390625,0.2890625,-0.015625,17.4765625,1.0,1.0,1.0,51.9609375,17.5390625,-0.000488,0.0
11525,37563843,39.0,12.296875,31.4453125,0.0,0.0,24.53125,1.0,1.0,0.0,33.7734375,24.53125,-0.002745,0.0
11526,38555352,39.0,1.6484375,58.234375,3.03125,0.0,15.1875,1.0,1.0,0.0,58.34375,15.1875,-0.000122,0.000366
11527,39060338,39.0,11.03125,12.390625,0.0,0.0,0.703125,0.0,1.0,0.0,16.6015625,0.703125,-0.005124,0.0
11528,39557599,39.0,-4.46875,36.828125,0.578125,0.0,0.0,0.0,1.0,0.0,37.109375,0.0,0.000915,0.000122
11529,39664378,39.0,-4.515625,35.671875,0.5625,0.0,0.0,0.0,1.0,1.0,35.2421875,0.0,0.000976,0.000122
11530,39768977,39.0,-5.1171875,35.1015625,0.6015625,0.0078125,0.0,0.0,1.0,2.0,35.2421875,0.0,0.001098,0.000122
11531,39958955,39.0,-5.1015625,35.8515625,0.4453125,0.0,0.0,0.0,1.0,4.0,37.03125,0.0,0.001098,6.1e-05
11532,40054678,39.0,-5.0234375,35.578125,0.515625,-0.0078125,0.0,0.0,2.0,5.0,35.15625,0.0,0.001037,6.1e-05
11533,40152817,39.0,-5.125,35.421875,0.5546875,0.015625,0.0,0.0,2.0,6.0,35.2421875,0.0,0.001098,0.000122
11534,40256716,39.0,-5.125,35.421875,0.5546875,0.015625,0.0,0.0,3.0,6.0,0.0,0.0,0.001098,0.000122
11535,40356295,39.0,-5.5234375,35.640625,0.484375,0.1875,-0.015625,0.0,4.0,7.0,37.4375,0.0,0.0011589999999999999,6.1e-05
11536,40459144,39.0,-5.546875,35.640625,0.484375,0.1875,-0.015625,0.0,3.0,7.0,0.0,0.0,0.0011589999999999999,6.1e-05
11537,40550356,39.0,-5.5625,35.640625,0.484375,0.1875,-0.015625,0.0,3.0,7.0,0.0,0.0,0.0011589999999999999,6.1e-05
11538,40649545,39.0,-5.5859375,35.6328125,0.484375,0.1875,-0.015625,0.0,3.0,6.0,0.0,0.0,0.0011589999999999999,6.1e-05
11539,40750764,39.0,-6.09375,35.796875,0.421875,0.515625,-0.0703125,0.0,4.0,7.0,37.6015625,0.0,0.001281,6.1e-05
11540,40853603,39.0,-6.1484375,35.7890625,0.421875,0.515625,-0.0703125,0.0,3.0,6.0,0.0,0.0,0.001281,6.1e-05
11541,40951602,39.0,-6.1953125,35.78125,0.421875,0.515625,-0.0703125,0.0,3.0,5.0,0.0,0.0,0.001281,6.1e-05
11542,41054164,39.0,-6.25,35.7734375,0.421875,0.515625,-0.0703125,0.0,3.0,4.0,0.0,0.0,0.0013419999999999999,6.1e-05
11543,41150103,39.0,-6.3046875,35.765625,0.421875,0.515625,-0.0703125,0.0,3.0,3.0,0.0,0.0,0.0013419999999999999,6.1e-05
