,app_stamp,Obj_DistLat,Obj_DistLong,Obj_VrelLong,Obj_VrelLat,Obj_ID,Obj_DynProp,Obj_RCS,gt_range,gt_angle,ideal_DisLat,ideal_DisLong,sub_ID,sub_ID_count
1210,54260407,-8.399999999999977,119.0,4.75,-0.75,9.0,0.0,8.0,119.29610219952704,-4.037710620977112,-8.8,122.3,9_324,34
1211,54330426,-8.399999999999977,119.40000000000009,4.75,-0.75,9.0,0.0,8.0,119.69511268218106,-4.0242284682726925,-8.9,122.3,9_324,34
1212,54405715,-8.399999999999977,119.60000000000002,4.75,-0.75,9.0,0.0,8.0,119.89462039641313,-4.0175210436592765,-9.0,123.0,9_324,34
1213,55411067,6.000000000000028,49.80000000000007,0.0,0.0,9.0,1.0,16.0,50.160143540464546,6.8699923082142815,-15.9,167.4,9_325,19
1214,55626207,6.400000000000006,49.80000000000007,0.0,0.75,9.0,1.0,15.0,50.20956084253284,7.323172899053602,6.0,49.8,9_325,19
1215,55771245,6.200000000000017,49.80000000000007,0.0,0.5,9.0,1.0,14.0,50.18445974602105,7.096694166575369,7.5,49.8,9_325,19
1216,56426310,6.000000000000028,49.60000000000002,-0.25,-0.25,9.0,1.0,14.5,49.96158524306452,6.897427557751777,9.5,49.8,9_325,19
1217,56641511,4.400000000000006,49.60000000000002,-0.5,-1.75,9.0,1.0,15.0,49.794778842766256,5.0694201326125015,5.5,49.1,9_325,19
1218,56711540,3.0000000000000284,49.80000000000007,-0.5,-2.75,9.0,1.0,16.5,49.89027961436984,3.4473868518652253,3.2,49.2,9_325,19
1219,56786549,2.6000000000000227,49.60000000000002,-0.5,-3.0,9.0,1.0,17.5,49.668098413367936,3.0006614134621743,0.9,49.4,9_325,19
1220,56856568,2.4000000000000057,49.60000000000002,-0.75,-3.0,9.0,1.0,18.5,49.65803056908321,2.770215797200198,0.5,49.2,9_325,19
1221,56931617,2.200000000000017,49.39999999999998,-0.75,-3.0,9.0,1.0,19.0,49.44896358873458,2.549949012960203,0.1,49.0,9_325,19
1222,57001626,1.8000000000000114,49.39999999999998,-0.75,-3.25,9.0,1.0,19.5,49.43278264471866,2.0867772755707774,0.1,48.9,9_325,19
1223,57146657,1.4000000000000057,49.39999999999998,-0.75,-3.0,9.0,1.0,20.0,49.419834074994604,1.6233325250904782,-2.9,48.3,9_325,19
1224,57221676,1.200000000000017,49.39999999999998,-0.75,-3.25,9.0,3.0,20.5,49.41457274934185,1.3915266525478451,-0.9,48.8,9_325,19
1225,57291705,1.0000000000000284,49.39999999999998,-0.75,-3.0,9.0,3.0,20.0,49.410120420820654,1.1596752084836024,-1.1,48.9,9_325,19
1226,57366724,0.8000000000000114,49.200000000000045,-0.75,-3.0,9.0,3.0,20.0,49.20650363519038,0.9315565980774972,-1.3,48.8,9_325,19
1227,57436743,0.6000000000000227,49.200000000000045,-1.0,-3.25,9.0,3.0,20.5,49.20365840057022,0.6986943829834972,-1.3,48.7,9_325,19
1228,57511772,0.4000000000000057,49.200000000000045,-1.0,-3.25,9.0,3.0,20.0,49.2016259893919,0.4658090827649998,-1.8,48.4,9_325,19
1229,57581766,2.842170943040401e-14,49.0,-1.0,-3.25,9.0,3.0,20.0,49.0,3.323355095733307e-14,-1.9,48.5,9_325,19
1230,57656776,-0.39999999999997726,49.0,-1.0,-3.5,9.0,3.0,20.0,49.00163262586258,-0.46771026003848654,-2.4,48.2,9_325,19
1231,57726815,-0.799999999999983,48.80000000000007,-1.0,-3.5,9.0,3.0,20.0,48.80655693654293,-0.9391909457355585,-2.9,48.3,9_325,19
1240,48368,-9.399999999999977,136.60000000000002,0.0,0.0,10.0,1.0,19.5,136.92304407951207,-3.9365491084286774,276701161104714.9,31.2,10_330,50
1241,263415,-8.599999999999994,136.80000000000007,0.0,1.0,10.0,1.0,18.0,137.0700550813343,-3.5971938551035336,-9.4,136.6,10_330,50
1242,338411,-8.199999999999989,137.0,0.0,1.5,10.0,1.0,19.5,137.24518206479965,-3.4252959460322576,-7.9,136.8,10_330,50
1243,408447,-7.999999999999972,137.20000000000005,0.0,1.5,10.0,1.0,22.0,137.43303824044642,-3.3370832367546086,-7.1,137.0,10_330,50
1244,628558,-7.999999999999972,137.0,0.0,1.25,10.0,1.0,26.5,137.23337786413333,-3.3419438572611213,-4.7,137.2,10_330,50
1245,703606,-7.799999999999983,137.0,0.0,1.25,10.0,1.0,27.0,137.22186414708116,-3.258577604577189,-7.1,137.0,10_330,50
1246,843663,-7.599999999999994,137.0,0.0,1.25,10.0,1.0,25.5,137.21064098676894,-3.175197537442804,-6.0,137.0,10_330,50
1247,918661,-7.399999999999977,137.20000000000005,0.0,1.5,10.0,1.0,28.0,137.39941775713612,-3.087305727924664,-6.7,137.0,10_330,50
1248,988699,-7.399999999999977,137.60000000000002,0.0,1.5,10.0,1.0,29.5,137.79883889206036,-3.0783482881947775,-6.3,137.2,10_330,50
1249,1063713,-7.199999999999989,137.4000000000001,0.0,1.5,10.0,1.0,30.0,137.5885169627176,-2.999655306496012,-6.3,137.6,10_330,50
1250,1133752,-7.199999999999989,137.60000000000002,0.0,1.5,10.0,1.0,31.0,137.78824333011872,-2.9953032876027414,-6.1,137.4,10_330,50
1251,1208760,-7.199999999999989,137.80000000000007,0.0,1.25,10.0,1.0,32.0,137.98797049018447,-2.990963867121458,-6.1,137.6,10_330,50
1252,1278789,-7.399999999999977,138.0,0.0,1.0,10.0,1.0,33.0,138.19826337548528,-3.069442626333606,-6.3,137.8,10_330,50
1253,1353817,-7.199999999999989,138.0,0.0,1.0,10.0,1.0,34.0,138.1876984394776,-2.986636990475162,-6.6,138.0,10_330,50
1254,1428825,-7.199999999999989,138.20000000000005,0.0,1.0,10.0,1.0,34.5,138.38742717458118,-2.9823226034013453,-6.4,138.0,10_330,50
1255,1498854,-6.999999999999972,138.20000000000005,0.0,1.0,10.0,1.0,35.5,138.377165746376,-2.8996236990881377,-6.5,138.2,10_330,50
1256,1643916,-6.999999999999972,138.4000000000001,0.0,1.0,10.0,1.0,36.0,138.5769100535873,-2.895440626854905,-5.5,138.2,10_330,50
1257,1788953,-6.799999999999983,138.4000000000001,0.0,1.0,10.0,1.0,36.0,138.56695132678652,-2.8128485602111053,-5.5,138.4,10_330,50
1258,1863981,-6.799999999999983,138.60000000000002,0.0,1.0,10.0,1.0,36.0,138.7667107054138,-2.8087961202882497,-6.0,138.4,10_330,50
1259,1934010,-6.599999999999994,138.60000000000002,0.0,1.0,10.0,1.0,36.5,138.75705387474903,-2.726310993906263,-6.1,138.6,10_330,50
1260,2154033,-6.599999999999994,138.80000000000007,0.0,0.75,10.0,1.0,37.0,138.95682782792656,-2.7223885060974324,-4.4,138.6,10_330,50
1261,2299069,-6.799999999999983,138.80000000000007,0.0,0.5,10.0,1.0,37.5,138.96647077622723,-2.804755330863246,-5.5,138.8,10_330,50
1262,2369087,-6.999999999999972,138.80000000000007,0.0,0.25,10.0,1.0,37.5,138.97640087439314,-2.8871105553085106,-6.4,138.8,10_330,50
1263,2444115,-7.199999999999989,138.80000000000007,0.0,0.25,10.0,1.0,37.0,138.9866180608767,-2.969453841659928,-6.8,138.8,10_330,50
1264,2514133,-7.199999999999989,139.0,0.0,0.0,10.0,1.0,37.0,139.18634990544152,-2.965188876462315,-7.0,138.8,10_330,50
1265,2589210,-7.399999999999977,139.0,0.0,-0.25,10.0,1.0,36.0,139.19683904457025,-3.0474020775362503,-7.2,139.0,10_330,50
1266,2659229,-7.599999999999994,139.0,0.0,-0.25,10.0,1.0,34.0,139.20761473425222,-3.129602720023873,-7.6,139.0,10_330,50
1267,2879295,-7.799999999999983,139.0,0.0,-0.25,10.0,1.0,29.0,139.2186769079494,-3.211790468497037,-8.2,139.0,10_330,50
1268,3094403,-7.799999999999983,139.20000000000005,0.0,-0.25,10.0,1.0,24.0,139.41836320944245,-3.207185467278675,-8.3,139.0,10_330,50
1269,3459488,-7.999999999999972,139.20000000000005,0.0,-0.25,10.0,1.0,20.0,139.42969554581984,-3.2892426784918136,-8.7,139.2,10_330,50
1270,3529637,-7.999999999999972,139.4000000000001,0.0,-0.5,10.0,1.0,19.5,139.62936653870497,-3.284533874978927,-8.2,139.2,10_330,50
1271,3674512,-8.199999999999989,139.4000000000001,0.0,-0.5,10.0,1.0,18.0,139.64096820059657,-3.3664606634297947,-8.7,139.4,10_330,50
1272,3894786,-8.399999999999977,139.4000000000001,0.0,-0.5,10.0,1.0,17.0,139.6528553234771,-3.448373672269716,-9.3,139.4,10_330,50
1273,3964604,-8.399999999999977,139.60000000000002,0.0,-0.5,10.0,1.0,17.0,139.85249372106315,-3.4434452049593887,-8.7,139.4,10_330,50
1274,4109684,-8.199999999999989,139.60000000000002,0.0,-0.5,10.0,1.0,18.0,139.8406235684038,-3.3616487226068874,-9.1,139.6,10_330,50
1275,4399758,-8.399999999999977,139.80000000000007,0.0,-0.25,10.0,1.0,19.5,140.05213315048087,-3.438530788329178,-9.7,139.6,10_330,50
1276,4544825,-8.199999999999989,139.80000000000007,0.0,-0.25,10.0,1.0,19.0,140.04027991974317,-3.3568505025817945,-8.8,139.8,10_330,50
1277,4764889,-7.999999999999972,139.80000000000007,0.0,0.0,10.0,1.0,17.5,140.02871134163885,-3.27515655462672,-8.8,139.8,10_330,50
1278,4979933,-7.799999999999983,139.80000000000007,0.0,0.25,10.0,1.0,18.0,140.01742748672402,-3.193449273283288,-8.0,139.8,10_330,50
1279,5339943,-7.599999999999994,139.80000000000007,0.0,0.25,10.0,1.0,16.0,140.00642842384065,-3.1117289876950607,-6.9,139.8,10_330,50
1280,5775263,-7.799999999999983,140.0,0.0,0.0,10.0,1.0,18.0,140.21711735733265,-3.1888966249729944,-6.5,139.8,10_330,50
1281,6210273,-7.999999999999972,140.0,0.0,0.0,10.0,1.0,17.0,140.22838514366484,-3.2704879231835537,-7.8,140.0,10_330,50
1282,6280301,-8.199999999999989,140.0,0.0,-0.25,10.0,1.0,17.5,140.23993725041382,-3.352065944819732,-8.0,140.0,10_330,50
1283,6355579,-8.399999999999977,140.0,0.0,-0.25,10.0,1.0,18.5,140.25177360732377,-3.4336303624505127,-8.4,140.0,10_330,50
1284,6500375,-8.599999999999994,140.0,0.0,-0.5,10.0,1.0,20.5,140.26389414243425,-3.5151808489746768,-8.8,140.0,10_330,50
1285,6715565,-8.799999999999983,140.0,0.0,-0.5,10.0,1.0,23.0,140.27629878208222,-3.59671707762846,-9.7,140.0,10_330,50
1286,7005661,-8.999999999999972,140.0,0.0,-0.5,10.0,1.0,24.0,140.28898745090436,-3.678238721993375,-10.3,140.0,10_330,50
1287,7150695,-9.199999999999989,140.0,0.0,-0.75,10.0,1.0,24.0,140.30196007183935,-3.7597454560038943,-9.7,140.0,10_330,50
1288,7295753,-9.399999999999977,140.0,0.0,-0.75,10.0,1.0,23.5,140.31521656613015,-3.8412369539551063,-10.3,140.0,10_330,50
1289,7800902,-9.599999999999994,140.0,0.0,-0.75,10.0,1.0,23.0,140.32875685332638,-3.922712890510472,-13.2,140.0,10_330,50
1353,40251635,6.600000000000023,151.60000000000002,0.0,0.0,11.0,1.0,22.5,151.74359953553233,2.4928331521159834,-47.6,179.8,11_353,21
1354,40321684,6.400000000000006,152.0,0.0,0.0,11.0,1.0,21.0,152.13467717782163,2.4110297466112334,6.6,151.6,11_353,21
